school,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_'at_home',Mjob_'health',Mjob_'other',Mjob_'services',Mjob_'teacher',Fjob_'at_home',Fjob_'health',Fjob_'other',Fjob_'services',Fjob_'teacher',reason_'course',reason_'home',reason_'other',reason_'reputation',guardian_'father',guardian_'mother',guardian_'other',Gvg,Avgalc,Bum
,17,,,,4,4,2,3,0,0,1,0,0,0,1,1,1,4,3,3,1,2,4,4,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,14.5,1.5,14.0
,17,,,,2,2,2,1,0,0,0,0,0,1,0,1,0,4,4,4,2,3,4,8,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,8.0,2.5,25.0
,16,,,,4,4,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,4,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,15.5,1.0,13.0
,15,,,,2,1,1,1,0,0,0,0,1,1,1,1,0,4,3,3,1,2,5,11,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,12.5,1.5,26.5
,15,,,,3,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,16.0,1.0,9.0
,15,,,,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,9.5,1.0,15.0
,17,,,,2,1,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,8.0,1.5,44.0
,16,,,,4,3,1,2,0,0,0,0,1,1,1,1,1,1,3,2,1,1,1,4,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,14.5,1.0,14.0
,17,,,,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,11.5,1.0,9.0
,16,,,,1,1,2,2,0,0,1,0,0,1,1,1,0,3,4,2,1,1,5,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,9.0,1.0,12.0
,16,,,,2,2,2,2,1,0,1,0,1,0,1,0,0,4,4,4,2,3,5,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,11.5,2.5,17.0
,18,,,,4,2,1,2,0,0,1,0,1,1,1,1,1,4,3,2,1,4,5,2,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,15.5,2.5,14.0
,16,,,,1,1,4,4,0,0,1,0,0,0,1,1,0,4,3,2,1,1,1,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,11.5,1.0,6.0
,17,,,,2,2,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,12,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,12.0,1.5,28.0
,17,,,,2,2,3,3,0,0,1,0,0,1,1,1,1,4,2,3,1,1,1,8,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,14.0,1.0,18.0
,19,,,,2,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,10.0,1.0,8.0
,17,,,,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,9.5,3.0,16.0
,16,,,,4,4,1,2,0,0,1,0,0,1,1,1,0,4,5,2,1,2,3,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,10.5,1.5,11.0
,15,,,,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,9.5,1.0,10.0
,15,,,,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,14.5,1.0,8.0
,16,,,,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,13.0,2.0,11.0
,16,,,,3,3,1,1,0,0,0,0,1,1,0,1,1,4,5,4,1,1,4,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,13.5,1.0,11.0
,17,,,,4,4,2,2,0,0,1,1,1,1,1,1,0,4,3,3,1,2,5,2,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,12.0,1.5,12.0
,15,,,,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,11.5,5.0,14.0
,15,,,,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,11.0,1.0,6.0
,17,,,,3,3,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,6,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,12.0,2.5,20.0
,17,,,,4,1,1,1,0,0,0,0,0,1,1,1,1,4,2,3,1,2,5,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,13.5,1.5,10.5
,17,,,,3,2,2,2,0,0,1,1,0,1,1,1,0,4,1,2,2,2,1,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,13.5,2.0,8.0
,15,,,,4,4,2,1,0,0,0,0,0,1,1,1,1,1,5,1,3,5,5,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,13.5,4.0,17.0
,17,,,,1,1,1,3,0,0,1,0,1,1,1,1,1,4,3,2,1,2,4,10,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,10.5,1.5,23.0
,17,,,,4,2,2,2,0,0,1,0,0,1,1,1,0,4,3,3,1,2,4,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,17.5,1.5,9.0
,17,,,,1,1,3,2,0,0,0,0,0,1,1,1,1,5,1,3,3,3,1,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,10.0,3.0,10.0
,18,,,,2,2,2,1,1,0,0,0,0,1,0,1,1,5,5,5,1,1,3,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,7.0,1.0,13.0
,15,,,,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,12.5,2.0,13.0
,17,,,,3,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,2,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,14.0,2.5,11.0
,18,,,,1,1,2,2,0,0,1,0,0,0,1,0,0,4,4,3,1,1,3,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,13.0,1.0,12.0
,18,,,,4,3,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,4,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,14.5,1.5,14.0
,16,,,,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,11.5,1.5,31.0
,16,,,,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,10.0,3.0,16.0
,18,,,,2,2,1,2,0,0,1,0,1,1,1,1,0,4,4,4,2,4,5,10,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,11.5,3.0,28.0
,17,,,,4,3,1,3,0,0,1,0,0,1,1,1,0,4,2,2,1,2,3,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,17.5,1.5,7.0
,18,,,,2,2,1,1,0,0,1,0,1,1,1,1,1,4,3,5,2,4,5,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,10.0,3.0,16.0
,16,,,,2,3,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,13.0,1.0,8.0
,17,,,,2,1,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,10.5,1.5,8.0
,19,,,,3,3,1,2,0,0,1,0,1,1,1,1,0,4,3,5,3,3,5,16,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,11.5,3.0,36.0
,18,,,,2,2,1,1,1,0,1,0,1,0,0,1,1,4,4,3,2,2,1,26,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,7.5,2.0,53.0
,16,,,,2,2,1,1,1,0,0,0,0,1,1,0,0,5,3,4,1,1,5,12,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,12.0,1.0,29.0
,17,,,,1,1,1,2,0,1,0,0,0,0,1,0,1,4,3,2,1,1,4,10,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,9.5,1.0,23.0
,17,,,,1,1,1,3,0,0,1,0,1,1,1,0,1,4,3,4,1,1,5,12,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,12.0,1.0,25.0
